entity_id,time,sector,fuel,value,source_id
IN,2018,residential,electricity,24.788898,src-29ecbb6dce9d
IN,2018,residential,oil,28.0773483061301,src-29ecbb6dce9d
IN,2018,transport,electricity,1.619982,src-29ecbb6dce9d
IN,2018,transport,oil,46.4420213389835,src-29ecbb6dce9d
IN,2019,agriculture,electricity,18.17137,src-29ecbb6dce9d
IN,2019,agriculture,gas,0.184998479318735,src-29ecbb6dce9d
IN,2019,agriculture,oil,0.754444097844868,src-29ecbb6dce9d
IN,2019,cgd-and-others,gas,14.4456062576034,src-29ecbb6dce9d
IN,2019,commercial,electricity,9.120042,src-29ecbb6dce9d
IN,2019,commercial,oil,3.04341233848866,src-29ecbb6dce9d
IN,2019,industry,coal,165.33235237658465,src-29ecbb6dce9d
IN,2019,industry,electricity,45.82252,src-29ecbb6dce9d
IN,2019,industry,gas,7.84948547749392,src-29ecbb6dce9d
IN,2019,industry,oil,22.7517051725838,src-29ecbb6dce9d
IN,2019,non-energy,gas,19.5256644996959,src-29ecbb6dce9d
IN,2019,non-energy,oil,32.5179138873176,src-29ecbb6dce9d
IN,2019,other,electricity,6.022666,src-29ecbb6dce9d
IN,2019,other,oil,82.4735798869336,src-29ecbb6dce9d
IN,2019,residential,electricity,26.55207,src-29ecbb6dce9d
IN,2019,residential,oil,28.4047055062216,src-29ecbb6dce9d
IN,2019,transport,electricity,1.646728,src-29ecbb6dce9d
IN,2019,transport,oil,47.7622513561058,src-29ecbb6dce9d
IN,2020,agriculture,electricity,19.032058,src-29ecbb6dce9d
IN,2020,agriculture,gas,0.16372365419708,src-29ecbb6dce9d
IN,2020,agriculture,oil,0.723481959766419,src-29ecbb6dce9d
IN,2020,cgd-and-others,gas,13.1700417427007,src-29ecbb6dce9d
IN,2020,commercial,electricity,7.4777,src-29ecbb6dce9d
IN,2020,commercial,oil,2.20284010431149,src-29ecbb6dce9d
IN,2020,industry,coal,156.1740567041187,src-29ecbb6dce9d
IN,2020,industry,electricity,43.754736,src-29ecbb6dce9d
IN,2020,industry,gas,7.83098562956204,src-29ecbb6dce9d
IN,2020,industry,oil,17.73422677124,src-29ecbb6dce9d
IN,2020,non-energy,gas,20.7198296836983,src-29ecbb6dce9d
IN,2020,non-energy,oil,35.4285853,src-29ecbb6dce9d
IN,2020,other,electricity,5.822286,src-29ecbb6dce9d
IN,2020,other,oil,73.820094479487,src-29ecbb6dce9d
IN,2020,residential,electricity,28.449574,src-29ecbb6dce9d
IN,2020,residential,oil,30.0527408949984,src-29ecbb6dce9d
IN,2020,transport,electricity,1.261448,src-29ecbb6dce9d
IN,2020,transport,oil,38.252002647267,src-29ecbb6dce9d
IN,2021,agriculture,electricity,19.646786,src-29ecbb6dce9d
IN,2021,agriculture,gas,0.144243925744792,src-29ecbb6dce9d
IN,2021,agriculture,oil,0.67074223770958,src-29ecbb6dce9d
IN,2021,cgd-and-others,gas,20.2479642758689,src-29ecbb6dce9d
IN,2021,commercial,electricity,8.352406,src-29ecbb6dce9d
IN,2021,commercial,oil,2.59650038464142,src-29ecbb6dce9d
IN,2021,industry,coal,158.0945350301463,src-29ecbb6dce9d
IN,2021,industry,electricity,47.857366,src-29ecbb6dce9d
IN,2021,industry,gas,5.79135733865801,src-29ecbb6dce9d
IN,2021,industry,oil,16.73243247546,src-29ecbb6dce9d
IN,2021,non-energy,gas,21.4107990039538,src-29ecbb6dce9d
IN,2021,non-energy,oil,36.1953737,src-29ecbb6dce9d
IN,2021,other,electricity,6.277656,src-29ecbb6dce9d
IN,2021,other,oil,76.1410848776993,src-29ecbb6dce9d
IN,2021,residential,electricity,29.22108,src-29ecbb6dce9d
IN,2021,residential,oil,30.1666831324747,src-29ecbb6dce9d
IN,2021,transport,electricity,1.88641,src-29ecbb6dce9d
IN,2021,transport,oil,43.782211347908,src-29ecbb6dce9d
IN,2022,agriculture,electricity,20.971272,src-29ecbb6dce9d
IN,2022,agriculture,gas,0.142448829075426,src-29ecbb6dce9d
IN,2022,agriculture,oil,0.400801329850539,src-29ecbb6dce9d
IN,2022,cgd-and-others,gas,20.6513802463504,src-29ecbb6dce9d
IN,2022,commercial,electricity,10.081866,src-29ecbb6dce9d
IN,2022,commercial,oil,3.00968925352702,src-29ecbb6dce9d
IN,2022,industry,coal,163.17713765052275,src-29ecbb6dce9d
IN,2022,industry,electricity,51.07497,src-29ecbb6dce9d
IN,2022,industry,gas,4.4159137013382,src-29ecbb6dce9d
IN,2022,industry,oil,18.34933949327,src-29ecbb6dce9d
IN,2022,non-energy,gas,21.5476978786496,src-29ecbb6dce9d
IN,2022,non-energy,oil,37.4009357,src-29ecbb6dce9d
IN,2022,other,electricity,8.784814,src-29ecbb6dce9d
IN,2022,other,oil,89.3955750267916,src-29ecbb6dce9d
IN,2022,residential,electricity,30.371416,src-29ecbb6dce9d
IN,2022,residential,oil,29.0033271814739,src-29ecbb6dce9d
IN,2022,transport,electricity,2.582408,src-29ecbb6dce9d
IN,2022,transport,oil,49.536494680564,src-29ecbb6dce9d
IN,2023,agriculture,electricity,23.69171,src-29ecbb6dce9d
IN,2023,agriculture,gas,0.13110946938458,src-29ecbb6dce9d
IN,2023,agriculture,oil,0.51266001071,src-29ecbb6dce9d
IN,2023,cgd-and-others,gas,24.4056856952804,src-29ecbb6dce9d
IN,2023,commercial,electricity,11.061578,src-29ecbb6dce9d
IN,2023,commercial,oil,3.18377310723893,src-29ecbb6dce9d
IN,2023,industry,coal,182.02199684872323,src-29ecbb6dce9d
IN,2023,industry,electricity,55.093836,src-29ecbb6dce9d
IN,2023,industry,gas,6.4857941391155,src-29ecbb6dce9d
IN,2023,industry,oil,20.93224688512,src-29ecbb6dce9d
IN,2023,non-energy,gas,24.2238448716178,src-29ecbb6dce9d
IN,2023,non-energy,oil,37.3223673,src-29ecbb6dce9d
IN,2023,other,electricity,7.987336,src-29ecbb6dce9d
IN,2023,other,oil,91.9335636015388,src-29ecbb6dce9d
IN,2023,residential,electricity,31.739074,src-29ecbb6dce9d
IN,2023,residential,oil,29.9262454937383,src-29ecbb6dce9d
IN,2023,transport,electricity,2.916948,src-29ecbb6dce9d
IN,2023,transport,oil,54.746443818253,src-29ecbb6dce9d
IN,2024,agriculture,electricity,22.383736,src-29ecbb6dce9d
IN,2024,agriculture,gas,0.141234950453467,src-29ecbb6dce9d
IN,2024,agriculture,oil,0.559495,src-29ecbb6dce9d
IN,2024,cgd-and-others,gas,25.3407560404472,src-29ecbb6dce9d
IN,2024,commercial,electricity,11.624018,src-29ecbb6dce9d
IN,2024,commercial,oil,3.094009,src-29ecbb6dce9d
IN,2024,industry,coal,180.45447163047237,src-29ecbb6dce9d
IN,2024,industry,electricity,56.378332,src-29ecbb6dce9d
IN,2024,industry,gas,8.01613700086966,src-29ecbb6dce9d
IN,2024,industry,oil,22.4621297,src-29ecbb6dce9d
IN,2024,non-energy,gas,24.1326131275086,src-29ecbb6dce9d
IN,2024,non-energy,oil,35.7775311,src-29ecbb6dce9d
IN,2024,other,electricity,11.089958,src-29ecbb6dce9d
IN,2024,other,oil,91.8673635,src-29ecbb6dce9d
IN,2024,residential,electricity,35.13229,src-29ecbb6dce9d
IN,2024,residential,oil,31.488805,src-29ecbb6dce9d
IN,2024,transport,electricity,2.967,src-29ecbb6dce9d
IN,2024,transport,oil,58.4249975,src-29ecbb6dce9d
