state,year,total_votes,n_parties_inside_threshold,cumsum_pct,n_outside_threshold,outside_vote_pct,unk_outside_threshold,outside_labels
gujarat,1997,246288,4,98.7,6,1.3,0,BMRD | GJJP | JD | NCY | RMEP | SDP (MP)
gujarat,1998,32564638,4,96.4,16,3.6,0,ABJS | ABMSD | AJBP | BSP | CPI | CPI(ML)(L) | CPM | JD | LSWP | RJD | RPI | RSRP | SAP | SHS | SP | SVSP
gujarat,1999,13615022,2,97.9,12,2.1,0,AJBP | BSP | CPI | GYVP | IND | JD(S) | JD(U) | LSWP | NCP | RPI | SHS | SP
haryana,1967,6084204,5,95.1,4,4.9,0,CPI | CPM | PSP | RPI
haryana,1968,2541938,6,96.3,6,3.7,0,ADS | CPI | CPM | PSP | RPI | SSP
haryana,1970,214273,3,96.5,1,3.5,0,VHP
haryana,1971,2992538,6,97.0,8,3.0,0,BKD | CPM | FBL | PBI | PSP | RPK | SAD | SUC
haryana,1972,3494796,6,97.0,8,3.0,0,BKD | CPI | CPM | HMS | RPI | RPK | SOP | SUC
haryana,1977,7929503,5,98.8,6,1.2,0,CPI | CPM | FBL | RPI | RPK | SUC
haryana,1978,431042,3,99.6,1,0.4,0,INC
haryana,1979,51555,3,97.5,1,2.5,0,RPI
haryana,1980,4529194,4,98.4,8,1.6,0,BJP | FBL | INC(U) | JNP(JP) | JNP(SC) | RPK | RRP | SUC
haryana,1982,4910344,4,95.7,4,4.3,0,CPI | CPM | ICS | JNP
haryana,1984,5135378,5,97.7,2,2.3,0,CPI | JNP
haryana,1985,316856,5,96.6,2,3.4,0,CPI | CPM
haryana,1986,82809,1,98.2,1,1.8,0,IND
haryana,1987,7208651,4,95.8,6,4.2,0,CPI | CPM | ICJ(BG) | ICS(SCS) | JNP | LKD(A)
haryana,1988,1063445,3,100.0,0,0.0,0,
haryana,1989,6162359,4,97.0,8,3.0,0,BSP | CPI | DDP | JNP (JP) | LKD (B) | PDL | RPI | SUC
haryana,1990,63164,2,96.1,1,3.9,0,IND
haryana,1991,12387300,6,96.0,20,4.0,0,BSP | CPI | CPM | DBP | DDP | FBL | HCYM | HMS | ICS(SCS) | JKMP | KM | LKD | MC(J) | PDL | RKD | RPI | RPK | SJJP | VHP | YAD
haryana,1993,179675,3,100.0,0,0.0,0,
haryana,1996,15195231,7,96.3,24,3.7,0,ABDUP | ABHM | ABJS | ARS | BHJS | BKD(J) | BLP | BSP(A) | CPI | CPM | FBL | ICS | JD | JHM | JP | JPS | JSTP | PPNMS | RKD | RKP | RPI | SHS | SJP(R) | SP
haryana,1998,7741158,6,95.4,17,4.6,0,ABHM | ABHS | ABJS | AIIC(S) | AJBP | BKKGP | BSP(A) | CPI | CPM | IND | JD | JP | LS | MSP | NPAP | SHS | SP
haryana,1999,6973039,4,95.6,10,4.4,0,ABJS | AJBP | BSP | BSP(A) | CPM | IND | JD(S) | NCP | RPI | SP
himachal-pradesh,1962,242908,4,95.5,1,4.5,0,JS
himachal-pradesh,1967,1542883,4,95.2,5,4.8,0,CPI | CPM | PSP | RPI | SSP
himachal-pradesh,1971,682062,5,97.5,2,2.5,0,CPI | SWA
himachal-pradesh,1972,878245,5,96.7,3,3.3,0,CPM | NCO | SOP
himachal-pradesh,1977,2290964,4,97.6,2,2.4,0,CPI | CPM
himachal-pradesh,1980,1253869,4,97.8,2,2.2,0,CPI | INC(U)
himachal-pradesh,1982,1550296,4,96.7,3,3.3,0,CPI | CPM | LKD
himachal-pradesh,1984,1442353,4,97.8,3,2.2,0,CPI | ICJ | LKD
himachal-pradesh,1985,1640927,4,96.4,3,3.6,0,CPI | CPM | LKD
himachal-pradesh,1989,1882022,4,96.4,5,3.6,0,BSP | CPI | CPM | IND | JNP (JP)
himachal-pradesh,1990,2011786,4,95.2,8,4.8,0,BSP | CPI | CPM | DDP | HMS | ICS(SCS) | JNP(JP) | PBI
himachal-pradesh,1991,1751905,3,95.9,7,4.1,0,CPI | DDP | ICS(SCS) | IND | JNP | JP | PBI
himachal-pradesh,1993,2325238,4,97.0,7,3.0,0,CPI | CPM | DDP | HKP | ICS | JD | SP
himachal-pradesh,1994,35217,2,100.0,0,0.0,0,
himachal-pradesh,1995,58670,2,100.0,0,0.0,0,
himachal-pradesh,1996,2096940,3,95.1,12,4.9,0,ABSR | AIIC(T) | BSP | CPI | CPM | ICS | JD | JP | RNP | SAP | SHS | SP
himachal-pradesh,1998,4932752,4,96.6,9,3.4,0,AIRJP | BSP | CPI | CPM | JD | RJP | SHS | SJP(R) | SP
himachal-pradesh,1999,2133704,3,98.2,6,1.8,0,BSP | CPI | IND | JD(S) | NCP | SP
jammu-and-kashmir,1962,725866,4,96.2,2,3.8,0,HM | PSP
jammu-and-kashmir,1967,1662173,4,95.8,3,4.2,0,CPI | DNC | PSP
jammu-and-kashmir,1971,1166746,3,98.5,2,1.5,0,PSP | SAD
jammu-and-kashmir,1972,1379006,4,99.2,4,0.8,0,CPI | NCO | SOP | SWA
jammu-and-kashmir,1977,3170694,5,98.0,2,2.0,0,CPI | JMI
jammu-and-kashmir,1980,1386986,5,98.9,1,1.1,0,BJP
jammu-and-kashmir,1983,2194217,5,96.2,5,3.8,0,BJP | CPI | CPM | JNP | LKD
jammu-and-kashmir,1984,2188156,4,98.2,3,1.8,0,BJP | JKP | LKD
jammu-and-kashmir,1985,35509,3,100.0,0,0.0,0,
jammu-and-kashmir,1987,2600739,5,96.8,6,3.2,0,CPI | CPM | ICS(SCS) | JNP | JPP | LKD
jammu-and-kashmir,1988,279574,3,100.0,0,0.0,0,
jammu-and-kashmir,1989,1046121,6,96.6,3,3.4,0,JNP (JP) | JPP | PBI
jammu-and-kashmir,1996,4558802,7,97.3,5,2.7,0,AIIC(T) | AIMF | CPI | CPM | JKAL
jammu-and-kashmir,1997,31353,2,100.0,0,0.0,0,
jammu-and-kashmir,1998,2182570,5,96.3,12,3.7,0,ABJS | ABMSD | AIIC(S) | BKKGP | JD | JKAL | JKNC | LS | NPAP | RJD | RPI | SP
jammu-and-kashmir,1999,1596406,7,95.7,15,4.3,0,ABJS | AJKPPF | BRPP | CPI(ML)(L) | JD(S) | JD(U) | JKNPP | JP | LS | NCP | RJD | RLD | SJP(R) | SPI | SPSP
karnataka,1977,10270125,2,96.7,3,3.3,0,CPI | IND | RPK
karnataka,1978,12971745,4,97.8,7,2.2,0,ADK | CPI | CPM | DMK | MUL | RPI | RPK
karnataka,1980,11108256,3,95.9,6,4.1,0,BJP | CPI | CPM | IND | JNP(S) | SUC
karnataka,1981,42085,3,98.0,1,2.0,0,IND
