electoral_id,lgd_district_id,delim_year,boundary_snapshot,overlap_kind
IN-AC-2008-gujarat-2766,gujarat/devbhumi-dwarka,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2767,gujarat/jamnagar,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2771,gujarat/morbi,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2773,gujarat/junagadh,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2774,gujarat/gir-somnath,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2780,gujarat/kachchh,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2790,gujarat/arvalli,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2794,gujarat/mahesana,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2802,gujarat/navsari,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2826,gujarat/porbandar,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2837,gujarat/sabar-kantha,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2850,gujarat/surendranagar,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2864,gujarat/dangs,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2865,gujarat/valsad,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-344,haryana/ambala,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-346,haryana/yamunanagar,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-347,haryana/panchkula,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-353,haryana/mahendragarh,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-354,haryana/charkhi-dadri,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-355,haryana/bhiwani,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-362,haryana/faridabad,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-366,haryana/palwal,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-371,haryana/gurugram,2008,lgd:2026-06-01,partial
IN-AC-2008-haryana-371,haryana/rewari,2008,lgd:2026-06-01,partial
IN-AC-2008-haryana-373,haryana/nuh,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-380,haryana/hisar,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-387,haryana/jind,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-389,haryana/karnal,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-392,haryana/panipat,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-398,haryana/kaithal,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-401,haryana/kurukshetra,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-407,haryana/jhajjar,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-410,haryana/rohtak,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-416,haryana/sirsa,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-418,haryana/fatehabad,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-haryana-425,haryana/sonipat,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-himachal-pradesh-106,himachal-pradesh/chamba,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-himachal-pradesh-122,himachal-pradesh/kullu,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-himachal-pradesh-129,himachal-pradesh/kinnaur,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-himachal-pradesh-131,himachal-pradesh/lahaul-and-spiti,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-himachal-pradesh-135,himachal-pradesh/shimla,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-himachal-pradesh-145,himachal-pradesh/sirmaur,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-himachal-pradesh-88,himachal-pradesh/bilaspur,2008,lgd:2026-06-01,partial
IN-AC-2008-himachal-pradesh-88,himachal-pradesh/hamirpur,2008,lgd:2026-06-01,partial
IN-AC-2008-himachal-pradesh-91,himachal-pradesh/una,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-himachal-pradesh-92,himachal-pradesh/kangra,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-himachal-pradesh-93,himachal-pradesh/mandi,2008,lgd:2026-06-01,partial
IN-AC-2008-himachal-pradesh-93,himachal-pradesh/solan,2008,lgd:2026-06-01,partial
IN-AC-2008-jammu-and-kashmir-1,jammu-and-kashmir/anantnag,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-jammu-and-kashmir-16,jammu-and-kashmir/shopian,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-jammu-and-kashmir-17,jammu-and-kashmir/bandipora,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-jammu-and-kashmir-18,jammu-and-kashmir/baramulla,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-jammu-and-kashmir-21,jammu-and-kashmir/kupwara,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-jammu-and-kashmir-29,jammu-and-kashmir/ganderbal,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-jammu-and-kashmir-3,jammu-and-kashmir/kulgam,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-jammu-and-kashmir-81,jammu-and-kashmir/kishtwar,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-jharkhand-2170,jharkhand/hazaribagh,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-jharkhand-2175,jharkhand/east-singhbum,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-jharkhand-2185,jharkhand/ranchi,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-jharkhand-2198,jharkhand/garhwa,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-karnataka-3461,karnataka/bengaluru-urban,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-karnataka-3589,karnataka/hassan,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-madhya-pradesh-2670,madhya-pradesh/niwari,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-meghalaya-1666,meghalaya/eastern-west-khasi-hills,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-meghalaya-1669,meghalaya/south-west-khasi-hills,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-mizoram-1580,mizoram/lawngtlai,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-nagaland-1455,nagaland/niuland,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-odisha-2222,odisha/ganjam,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-odisha-2278,odisha/angul,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-odisha-2308,odisha/boudh,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-rajasthan-633,rajasthan/phalodi,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-sikkim-1373,sikkim/soreng,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-telangana-3301,telangana/narayanpet,2008,lgd:2026-06-01,wholly_inside
