entity_id,time,value,sex,source_id,processing_level
IN-AC-2008-tamil-nadu-3927,2021,134400,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3927,2021,131507,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3927,2021,44,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3928,2021,139105,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3928,2021,133706,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3928,2021,18,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3929,2021,191713,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3929,2021,181069,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3929,2021,57,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3930,2021,103061,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3930,2021,100917,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3930,2021,20,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3931,2021,143829,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3931,2021,134909,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3931,2021,37,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3932,2021,108078,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3932,2021,104496,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3932,2021,65,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3933,2021,151112,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3933,2021,143244,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3933,2021,54,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3934,2021,126556,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3934,2021,119559,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3934,2021,62,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3935,2021,132474,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3935,2021,132540,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3935,2021,1,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3936,2021,146695,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3936,2021,142078,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3936,2021,94,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3937,2021,121546,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3937,2021,123798,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3937,2021,15,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3938,2021,132180,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3938,2021,126738,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3938,2021,10,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3939,2021,118020,female,src-99455a24d3c4,minor
